Product,Product Description,Website,Created By,Followers,Upvotes,Comments
Heyscribe,Manage and monetize your creative work-in-process,heyscribe.com,"['Artem Samarsky', 'Anastasia Morgan']",447,392,136
◯˚GitStart,Pull requests as a service,gitstart.com,"['Edward So', 'Miracle Ogunlade', 'Emily Luo', 'Hamza Zia', 'Andreea Nastase', 'Richard Guerre', 'Corentin Trébaol', 'Nik Slomsky', 'Ralph Tigoumo', 'James Nishiyama Finucane', 'Danny Raveh', 'Ishmam Mahmud', 'Damien Mahuzier', 'Ethan Pang', 'Malhaar Vora']",310,292,60
myReach,"Your second brain, powered by AI – ChatGPT for your things",myreach.io,"['Christopher Payne', 'Alex Calle', 'Agnes Felip', 'Raul Ibañez']",229,214,66
dyrector.io,Open-source SelfOps platform for containers.,app.dyrectorio.com,['Orbán Levente'],296,160,43
X2Image,Convert tweets to stylish images,x2image.app,['Ömer Taban'],157,157,61
Allio Finance,Build wealth on autopilot in under 5 minutes,www.alliofinance.com,['Joseph Gradante'],155,152,19
AWS Fundamentals,"AWS for the real world, not for certifications",awsfundamentals.com,['Tobias Schmidt'],162,111,43
BentoAI,Auto-create guides from existing articles and recordings,www.trybento.co/resources/figma,"['Emily Wang', 'Justin Kwok', 'Allister Craig Smith', 'Meera Kanani', 'Andy Cheng', 'Joao Pedro Barros']",437,111,39
IndexGuru,"Index pages faster, rank sooner",indexguru.io,['Michael Patrick'],103,122,16
CodingDrills,"Practice your coding skills with Ada, your personal AI tutor",www.codingdrills.com,['Siddhartha Gunti'],86,87,7
File attachments by Xata,Attach files and images directly to your database,xata.io,"['Alex Francoeur', 'Sorin Toma', 'Alexis Rico', 'Dave Snider', 'Tudor Golubenco', 'Monica Sarbu', 'Carlos Pérez-Aradros Herce', 'Simona Pencea', 'Kostas Botsas', 'Daniel Everts', 'Alejandro Martínez Vieites', 'Esther', 'Matt Field', 'Elizabet Oliveira']",521,79,13
Blabigo AI,"Grow your personal brand on LinkedIn, unlock your potential",ai.blabigo.com,['Nabil Chouaib'],78,79,22
UniqueSide.io,Launch your MVP in 15 days,www.uniqueside.io,['Manoj Ahirwar'],94,72,26
RivalHunt,Automated competitors tracking tool for startups,rivalhunt.co,['Andriy Semenets'],69,69,15
Sollas,Fast-track your product launch with Sollas,sollas.co,['Bohdan Meklesh'],61,63,12
Powerhost,The ultimate vacation rental software for property managers,rentalsunited.com,['Michal Wlodarski'],87,62,20
Raycue,A multifunctional dock with a nostalgic twist,www.kickstarter.com/projects/raycue/128k/description,[],54,58,6
Brayniac,Data analysis made easy and fun,brayniac.io,['Lars Hertel'],53,55,11
AI Assistant in Slack,Delegate Slack to your AI assistant and save an hour per day,www.dispatch.do,"['Stedman Blake Hood', 'Jaka Mušič']",840,56,18
Shipshape,"Beautiful, blazing-fast Vercel deployment dashboards",www.shipshape.dev,['Nick Payne'],52,55,17
Lumos Academy,"Web3.0 learning, simplified",academy.lumoslabs.co,"['Kaavya Prasad', 'Chandrasekhar Menon', 'naman ohri', 'Kanishk Khurana']",51,55,3
Rivet by Ironclad,Open-source visual AI programming environment from Ironclad,rivet.ironcladapp.com,['Cai GoGwilt'],52,54,11
100+ Best Webflow Websites,Best high-converting websites for inspiration,www.flowout.com/best-webflow-websites,"['Gal', 'Luka Mlakar', 'Sergej Gorišek']",51,50,14
Crossable,Cross-posting made simple,crossable.io,[],46,50,14
Yachay AI,Open source text-to-location geotagging models,www.yachay.ai,"['Natali Hall', 'Inga Kasparavichute', 'Aleksei Balabontsev', 'Sofia Kozeeva', 'Arina Razmyslovich']",47,47,14
Architect AI,Architect AI generate high-quality architectural renderings,ai-architect.net,['JEFF WU'],39,42,3
css dezigns,Where creativity innovation in web design,cssdezigns.com,['Mohamed Ezzat'],46,46,22
Wrikified,Simplify & improve task output for Wrike users,www.wrikified.com,['Chris Watterston'],68,44,7
Flash,Memorize anything with ease using simple flashcards,apps.apple.com/us/app/flash-cards-notes-for-school/id6462816053,['Gene Bogdanovich'],51,40,9
Flashwise,AI powered spaced repetition flashcards,flashwise.app,['Mark Gawlyk'],36,38,7
Product Blueprint Designer by Hyacinth,"Add features, design your product & get a budget estimate",hyacinth.onrender.com/designer,['Piyush'],37,39,5
Shop Maui Local,Support Maui by shopping local businesses online,www.shopmauilocal.org,['Ashley Wu'],34,37,5
Verse Fantasy Sports,The real money online arena for fantasy sports,apps.apple.com/us/app/verse-fantasy-sports/id6446703696,['Daniel Zimmermann'],31,36,5
Deform,Get smarter on cybersecurity,deform.co,['Narek Hakobyan'],41,35,23
Secret Recipes,Sell Your Signature Recipes Online,www.secret-recipes.com,['Samesh Wijeweera'],117,36,5
Quilt for Google Chrome,Tiling window manager,chrome.google.com/webstore/detail/ikjaecdfcaoegkfgjhhkjgcpmackbnki,['Myster Violets'],33,34,6
Freelance Platform ETH & TON,Smart contract for freelance platform with jury trial,yarptech.gumroad.com/l/ethtonfreelanceplatform,['Kir Leshkevich'],27,29,10
Scale to Zero AWS,Deploy your app in minutes with serverless architecture,scaletozeroaws.com,['Javid Abd'],30,29,18
Polaroid I-2,The first analog instant camera w/ built-in manual controls,i2-camera.polaroid.com,[],22,24,2
IslandPOS,Offline only point of sale desktop app,islandpos.vercel.app,['Dhruvil Patel'],22,25,4
Deepen,AI therapy & counseling,thedeepen.app,['Daniel Hunt'],1.1K,980,284
Boolvideo,Turn your creatives into cinematic videos with AI,www.helloworld.boolv.video,"['Jones Yue', 'Hanna Z']",756,604,220
Anecdote,Instantly identify bugs in your customer feedback,www.anecdoteai.com/bugs,"['Abed Kasaji', 'Vladislav Semernia', 'Denis Gordeev', 'Vitalii Duk', 'Pavel Koch']",544,516,164
Dokkio AI,Your AI-powered assistant to organize & manage digital mess,www.dokkio.com/ai2023,"['Matt Castaldo', 'Jim Groff', 'Brian Kirchoff', 'Dow Osage', 'MBA', 'Chris Yeh']",471,455,92
Frond 2.0,"More open, public and improved",frond.com,"['Jan Senderek', 'Matthew Blackshaw', 'Nikolai Stosch', 'Jake Pyne', 'Alex Budure', 'Corwin Crownover']",1.3K,551,131
Retool AI,Build AI apps and workflows 10x faster,tryretool.com,"['David Dworsky', 'Jamie Cuffe', 'Huy Pham', 'Si Min Lee', 'Yujian', 'Ming Wang']",2.1K,388,41
M1-project,Understand your target audience without weeks of research,m1-project.com,['Roman Ponomarev'],233,225,64
HTML to Framer,"Move your site to Framer, one copy paste at a time",chrome.google.com/webstore/detail/html-to-framer/haijifigpgpndcnbbjooffflaceedhdp,"['Blixt', 'Edoardo Mercati', 'Adam Seckel', 'Koen Bok']",296,293,27
Streamlined,B2B payments built for global commerce,www.streamlinedpayments.com,"['Boris de Souza', 'Zhuo Huang', 'Eddie Huang', 'Justin Kim', 'Anissa Zoelle']",229,227,57
Ingredients,See what's under the hood of your favorite websites,ingredients.tech,[],204,191,45
AI Image Editor for E-commerce,AI image editor purpose built for e-commerce marketing,creatorkit.com,"['Kevin Natanzon', 'Charly Vega']",524,149,23
Mercury Weather,A beautifully designed weather app,apps.apple.com/app/apple-store/id1621800675,['Kai'],152,148,34
"Meeting Cost Calculator, by Ramp","See how much each meeting costs, directly in Google Cal",www.ramp.com,"['Nick Abouzeid', 'Larry Zhang', 'Eric Glyman', 'Karim Atiyeh', 'Yash Godiwala', 'Geoff Charles']",856,138,13
Pallo,All-in-one personal & business financial management,www.pallo.com,"['Rhiannon Scherer', 'Adiraj Gupta', 'Sanin']",203,127,35
Growth Strategy Playbook,The ultimate growth strategy resource for growth marketers,www.growclass.co,['Sarah Stockdale'],405,137,32
Fluid Markets Beta,"Invest in Apple earnings, not Apple stock, for free",trading.fluidinvesting.com,"['Ari Wax', 'Ken Book']",108,112,13
Timkee,Minimalist Jira tracker for MacOS,timkee.io,"['Fabian Zag', 'Tobias Wenz']",111,110,20
AI Art Generator Wonder Avatar SDXL 1.0,Unleash the true AI artistry with Stable Diffusion XL 1.0,apps.apple.com/us/app/ai-image-generator-dream-art/id6443536926,['Marcos Velarde'],102,97,12
Crumb,A programming language that's fully functional,github.com/liam-ilan/crumb,['Liam Ilan'],92,95,15
Statused,Receive your apps’ review and TestFlight status on Slack,statused.com,['Roger Oba'],95,93,18
AI Writer,Your intelligent co-pilot in content creation,ai-writer.com,[],91,88,11
JoyAI - Generative AI for Salesforce,Connecting businesses with generative AI in meaningful ways,findjoyai.com,['Rob Martinez'],94,84,25
Inbox Narrator Podcast,Turn your email inbox into a podcast,inboxnarrator.com,['Rogério Chaves'],183,80,9
Resume Trick,Free online AI-powered resume and cover letter builder,resumetrick.com,['Icecream Apps'],76,78,13
SuperQuiz,AI generated custom multiplayer quizzes in seconds,getsuperquiz.com,['Ashwini Uppal'],79,76,14
Leadsourcing,A better ChatGPT for LinkedIn outreach,leadsourcing.co,['Mitchell Suen'],68,75,15
SimpleClosure,Easiest and most trustworthy way to shut down your startup,simpleclosure.com,['Nimrod Ram'],71,74,31
Magicfont,Create magical font images with beautifully backgrounds,aicanvas.app/magicfont,['Liu Bing'],84,74,20
Replit Deployments,The fastest way to go from idea to production,replit.com/site/deployments,"['Joe Thom', 'Jeff Burke ⠕', 'Søren Rood', 'Andy Tang']",66,67,8
The New Clubhouse,Clubhouse has reinvented itself as an audio messaging app.,clubhouse.com,['Rohan Seth'],98,76,17
GIF Cap,Create animated GIFs from a screen recording,gifcap.dev,['Joan Moreno'],64,64,6
TravelGenie,Travel planning simplified,travelgenie.world,"['Rujuta N', 'Ashwin Shirbhate']",65,65,31
FantaZscores,Optimize your fantasy basketball team with z-scores,fantazscores.com,['Matthew Bell'],61,60,11
FRCTNL,"Community for fractional developers, designers + marketers",www.frctnl.xyz,['Philip I'],53,57,10
